Mission;Sample;serial number;return container;Container;Sample type;weight (g)
Apollo 14;14199;NA;comprehensive sample;weigh bag 1031;polymict breccia;1.88
Apollo 14;14200;NA;comprehensive sample;weigh bag 1031;basaltic crystalline rock;1.24
Apollo 14;14201;NA;comprehensive sample;weigh bag 1031;polymict breccia;1.56
Apollo 14;14210;2044;NA;Drive tube ;drive tube ;39.5
Apollo 14;14211;2045;NA;Drive tube ;drive tube ;169.7
Apollo 14;14220;2022;NA;Drive tube ;drive tube ;80.7
Apollo 14;14230;2043;NA;Drive tube ;drive tube ;76
Apollo 14;14250;NA;comprehensive sample;weigh bag 1007;microbreccia;4.06
Apollo 14;14251;NA;comprehensive sample;weigh bag 1007;microbreccia;1.51
Apollo 14;14252;NA;comprehensive sample;weigh bag 1007;microbreccia;0.86
Apollo 14;14253;NA;comprehensive sample;weigh bag 1007;crystalline breccia;1.23
Apollo 14;14254;NA;comprehensive sample;weigh bag 1007;soil and glass;1.01
Apollo 14;14255;NA;comprehensive sample;weigh bag 1007;microbreccia;22.15
Apollo 14;14264;NA;comprehensive sample;weigh bag 1039;vitric breccia;117.8
Apollo 14;14265;NA;comprehensive sample;weigh bag 1039;breccia;65.79
Apollo 14;14266;NA;comprehensive sample;weigh bag 1039;polymict breccia;6.95
Apollo 14;14267;NA;comprehensive sample;weigh bag 1039;vitric breccia;54.77
Apollo 14;14268;NA;comprehensive sample;weigh bag 1039;vitric breccia;23.12
Apollo 14;14269;NA;comprehensive sample;weigh bag 1039;microbreccia;17.19
Apollo 14;14270;NA;comprehensive sample;weigh bag 1039;crystalline breccia;25.59
Apollo 14;14271;NA;comprehensive sample;weigh bag 1039;vitric breccia;97.41
Apollo 14;14272;NA;comprehensive sample;weigh bag 1039;vitric breccia;46.63
Apollo 14;14273;NA;comprehensive sample;weigh bag 1039;vitric breccia;22.4
Apollo 14;14274;NA;comprehensive sample;weigh bag 1039;polymict breccia;15.18
Apollo 14;14275;NA;comprehensive sample;weigh bag 1039;polymict breccia;12.46
Apollo 14;14276;NA;comprehensive sample;weigh bag 1039;crystalline rock;12.75
Apollo 14;14277;NA;comprehensive sample;weigh bag 1039;vitric breccia;7.59
Apollo 14;14278;NA;comprehensive sample;weigh bag 1039;polymict breccia;7.6
Apollo 14;14279;NA;comprehensive sample;weigh bag 1039;polymict breccia;5.67
Apollo 14;14280;NA;comprehensive sample;weigh bag 1039;vitric breccia;6.2
Apollo 14;14281;NA;comprehensive sample;weigh bag 1039;vitric breccia;12.03
Apollo 14;14282;NA;comprehensive sample;weigh bag 1039;soil breccia;1.89
