Mission;Sample;Subsample;depth (cm);Sieve size (µm);weight %;D50 (µm);Source
Apollo 15;15011;"15011;2110";3.5 - 4;75.0;5.78;64.37;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2110";3.5 - 4;45.0;18.05;64.37;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2110";3.5 - 4;20.0;17.35;64.37;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2110";3.5 - 4;1.0;19.01;64.37;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2109";0.4 - 1;10000.0;0.0;73.23;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2109";0.4 - 1;1000.0;2.23;73.23;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2109";0.4 - 1;500.0;4.97;73.23;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2109";0.4 - 1;250.0;9.33;73.23;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2109";0.4 - 1;150.0;11.56;73.23;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2109";0.4 - 1;90.0;15.19;73.23;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2109";0.4 - 1;75.0;5.96;73.23;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2109";0.4 - 1;45.0;16.29;73.23;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2109";0.4 - 1;20.0;16.36;73.23;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2109";0.4 - 1;1.0;17.1;73.23;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15012;"15012;136";;10000.0;0.0;52.65;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15012;"15012;136";;1000.0;2.96;52.65;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15012;"15012;136";;500.0;4.36;52.65;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15012;"15012;136";;250.0;7.6;52.65;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15012;"15012;136";;150.0;8.68;52.65;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15012;"15012;136";;90.0;12.31;52.65;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15012;"15012;136";;75.0;4.54;52.65;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15012;"15012;136";;45.0;13.79;52.65;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15012;"15012;136";;20.0;21.92;52.65;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15012;"15012;136";;1.0;22.83;52.65;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15013;"15013;94";;10000.0;0.0;53.66;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15013;"15013;94";;1000.0;3.48;53.66;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15013;"15013;94";;500.0;3.87;53.66;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15013;"15013;94";;250.0;7.78;53.66;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15013;"15013;94";;150.0;8.41;53.66;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15013;"15013;94";;90.0;12.3;53.66;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15013;"15013;94";;75.0;4.75;53.66;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15013;"15013;94";;45.0;14.36;53.66;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15013;"15013;94";;20.0;18.38;53.66;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
