sample ID;serial number ;return container;Container;sample type;weight (g)
79226;NA;SCB5;DB483;friable dark matrix breccia;6.73
79227;NA;SCB5;DB483;disaggregated clod;5.57
79228;NA;SCB5;DB483;disaggregated clod;2.5
79240;NA;SCB5;DB484;unsieved fines ;113.3
79241;NA;SCB5;DB484;<1mm fines;174.3
79242;NA;SCB5;DB484;1-2mm fines;11.32
79243;NA;SCB5;DB484;2-4mm fines;10.46
79244;NA;SCB5;DB484;4-10mm fines;10.85
79245;NA;SCB5;DB484;crystalline ;10.11
79260;NA;SCB5;DB485;unsieved fines ;118.9
79261;NA;SCB5;DB485;<1mm fines;187.8
79262;NA;SCB5;DB485;1-2mm fines;11.74
79263;NA;SCB5;DB485;2-4mm fines;11.46
79264;NA;SCB5;DB485;4-10mm fines;15.85
79265;NA;SCB5;DB485;basalt;2.6
79510;NA;SCB5;DB570;unsieved fines ;107.6
79511;NA;SCB5;DB570;<1mm fines;179.2
79512;NA;SCB5;DB570;1-2mm fines;11.32
79513;NA;SCB5;DB570;2-4mm fines;9.94
79514;NA;SCB5;DB570;4-10mm fines;12.24
79515;NA;SCB5;DB570;medium basalt;33
79516;NA;SCB5;DB570;medium basalt;23.92
79517;NA;SCB5;DB570;dark matrix breccia;10.23
79518;NA;SCB5;DB570;dark matrix breccia;5.2
79519;NA;SCB5;DB570;dark matrix breccia;3.65
79525;NA;SCB5;DB570;dark matrix breccia;3.03
79526;NA;SCB5;DB570;dark matrix breccia;2.93
79527;NA;SCB5;DB570;dark matrix breccia;2.65
79528;NA;SCB5;DB570;dark matrix breccia;2.38
79529;NA;SCB5;DB570;dark matrix breccia;1.84
79535;NA;SCB5;DB570;dark matrix breccia;1.69
79536;NA;SCB5;DB570;dark matrix breccia;1.66
79537;NA;SCB5;DB570;dark matrix breccia;1.05
